flight_id,flight_date,airline,flight_number,origin_airport,destination_airport,distance_miles,aircraft_type,scheduled_departure,actual_departure,scheduled_arrival,actual_arrival,departure_delay_minutes,arrival_delay_minutes,delay_reason,cancelled,cancellation_reason,diverted,seats_available,passengers,ticket_price_avg,revenue,fuel_cost,weather_condition,customer_satisfaction_score,had_valid_delay_data,survey_responded,is_delay_outlier,delay_category,route,month,month_name,day_of_week,is_weekend,quarter,load_factor,rasm,operating_margin,is_on_time
FL109466,2025-04-05,Coastal Express,CO132,LAX,DEN,861.0,Airbus A321,2025-04-05 17:15:00,2025-04-05 17:12:00,2025-04-05 19:20:00,2025-04-05 19:21:00,-3.0,1.0,No Delay,False,Not Cancelled,False,220,104,360.01,37441.04,9734.98,Clear,1.0,True,True,False,On-Time / Early,LAX-DEN,4,April,Saturday,True,2,0.473,0.1977,27706.06,True
FL110104,2025-09-29,Skylink Air,SK102,DFW,SEA,1658.0,Airbus A320,2025-09-29 17:15:00,2025-09-29 17:18:00,2025-09-29 21:10:00,2025-09-29 21:05:00,3.0,-5.0,Air Traffic Control,False,Not Cancelled,False,160,138,339.32,46826.16,18567.94,Clear,4.0,True,True,False,Minor Delay,DFW-SEA,9,September,Monday,False,3,0.862,0.1765,28258.220000000005,True
FL102712,2025-09-26,Skylink Air,SK714,DEN,JFK,1621.0,Boeing 787,2025-09-26 19:30:00,2025-09-26 19:30:00,2025-09-26 23:08:00,2025-09-26 23:09:00,0.0,1.0,No Delay,False,Not Cancelled,False,160,121,360.82,43659.22,20912.51,Clear,2.0,True,True,False,On-Time / Early,DEN-JFK,9,September,Friday,False,3,0.756,0.1683,22746.710000000003,True
FL109616,2025-05-12,Falcon Jet,FA511,DEN,BOS,1749.0,Boeing 737,2025-05-12 13:45:00,2025-05-12 14:17:00,2025-05-12 17:49:00,2025-05-12 18:22:00,32.0,33.0,Weather,False,Not Cancelled,False,180,150,407.73,61159.5,17411.58,Rain,,True,False,True,Moderate Delay,DEN-BOS,5,May,Monday,False,2,0.833,0.1943,43747.92,False
FL100125,2025-04-12,Summit Airlines,SU928,ATL,JFK,759.0,Boeing 737,2025-04-12 20:00:00,2025-04-12 20:00:00,2025-04-12 21:49:00,2025-04-12 21:48:00,0.0,-1.0,No Delay,False,Not Cancelled,False,250,226,267.24,60396.24,8065.2,Rain,,True,False,False,On-Time / Early,ATL-JFK,4,April,Saturday,True,2,0.904,0.3183,52331.04,True
FL109865,2025-05-05,Skylink Air,SK220,SEA,DEN,1022.0,Boeing 787,2025-05-05 19:00:00,2025-05-05 19:00:00,2025-05-05 21:24:00,2025-05-05 21:16:00,0.0,-8.0,Weather,False,Not Cancelled,False,180,144,337.44,48591.36,11485.24,Clear,1.0,True,True,False,On-Time / Early,SEA-DEN,5,May,Monday,False,2,0.8,0.2641,37106.12,True
FL107872,2025-11-04,Skylink Air,SK364,DFW,ORD,802.0,Embraer E190,2025-11-04 22:00:00,2025-11-04 22:29:00,2025-11-04 23:44:00,2025-11-05 00:08:00,29.0,24.0,Airline Operations,False,Not Cancelled,False,160,106,302.96,32113.76,9632.05,Rain,3.0,True,True,True,Moderate Delay,DFW-ORD,11,November,Tuesday,False,4,0.662,0.2503,22481.71,False
FL105748,2025-11-29,Falcon Jet,FA621,DFW,ATL,730.0,Airbus A320,2025-11-29 20:00:00,2025-11-29 20:50:00,2025-11-29 21:43:00,2025-11-29 22:42:00,50.0,59.0,Late Aircraft Arrival,False,Not Cancelled,False,180,166,277.32,46035.12,9519.34,Clear,4.0,True,True,True,Moderate Delay,DFW-ATL,11,November,Saturday,True,4,0.922,0.3503,36515.78,False
FL100259,2025-09-04,Falcon Jet,FA584,SEA,ATL,2178.0,Airbus A321,2025-09-04 09:45:00,2025-09-04 09:45:00,2025-09-04 14:39:00,2025-09-04 14:41:00,0.0,2.0,No Delay,False,Not Cancelled,False,250,219,401.46,87919.74,21119.81,Clear,,True,False,False,On-Time / Early,SEA-ATL,9,September,Thursday,False,3,0.876,0.1615,66799.93000000001,True
FL111267,2025-06-17,Horizon Airways,HO776,DFW,ATL,730.0,Boeing 737,2025-06-17 08:00:00,2025-06-17 07:55:00,2025-06-17 09:47:00,2025-06-17 09:49:00,-5.0,2.0,No Delay,False,Not Cancelled,False,180,150,293.8,44070.0,8837.49,Storm,2.0,True,True,False,On-Time / Early,DFW-ATL,6,June,Tuesday,False,2,0.833,0.3354,35232.51,True
FL107506,2025-06-13,Horizon Airways,HO697,DEN,DFW,641.0,Embraer E190,2025-06-13 21:45:00,2025-06-13 21:47:00,2025-06-13 23:19:00,2025-06-13 23:27:00,2.0,8.0,No Delay,False,Not Cancelled,False,140,102,277.32,28286.64,7293.78,Clear,,True,False,False,Minor Delay,DEN-DFW,6,June,Friday,False,2,0.729,0.3152,20992.86,True
FL110896,2025-11-17,Summit Airlines,SU382,BOS,DFW,1559.0,Boeing 737,2025-11-17 17:00:00,2025-11-17 16:55:00,2025-11-17 20:26:00,2025-11-17 20:21:00,-5.0,-5.0,No Delay,False,Not Cancelled,False,140,127,366.99,46607.73,16809.03,Windy,1.0,True,True,False,On-Time / Early,BOS-DFW,11,November,Monday,False,4,0.907,0.2135,29798.700000000004,True
FL104504,2025-11-04,Summit Airlines,SU658,SEA,DEN,1022.0,Airbus A320,2025-11-04 15:15:00,2025-11-04 15:15:00,2025-11-04 17:39:00,2025-11-04 17:36:00,0.0,-3.0,No Delay,False,Not Cancelled,False,140,124,300.86,37306.64,10397.48,Clear,1.0,True,True,False,On-Time / Early,SEA-DEN,11,November,Tuesday,False,4,0.886,0.2607,26909.16,True
FL110610,2025-07-04,Bluewing Airlines,BL150,DFW,LAX,1232.0,Airbus A320,2025-07-04 10:15:00,2025-07-04 10:17:00,2025-07-04 12:51:00,2025-07-04 13:00:00,2.0,9.0,No Delay,False,Not Cancelled,False,220,207,236.74,49005.18,15769.36,Clear,4.0,True,True,False,Minor Delay,DFW-LAX,7,July,Friday,False,3,0.941,0.1808,33235.82,True
FL109763,2025-10-21,Bluewing Airlines,BL289,DEN,ORD,886.0,Airbus A320,2025-10-21 07:15:00,2025-10-21 08:12:00,2025-10-21 09:26:00,2025-10-21 10:26:00,57.0,60.0,Airline Operations,False,Not Cancelled,False,140,109,276.18,30103.62,10459.03,Clear,3.0,True,True,True,Moderate Delay,DEN-ORD,10,October,Tuesday,False,4,0.779,0.2427,19644.589999999997,False
FL106892,2025-12-06,Coastal Express,CO569,MIA,DFW,1120.0,Boeing 737,2025-12-06 21:15:00,2025-12-06 22:03:00,2025-12-06 23:42:00,2025-12-07 00:21:00,48.0,39.0,Security,False,Not Cancelled,False,220,195,316.25,61668.75,14994.91,Clear,2.0,True,True,True,Moderate Delay,MIA-DFW,12,December,Saturday,True,4,0.886,0.2503,46673.84,False
FL105512,2025-01-29,Skylink Air,SK692,ATL,BOS,945.0,Airbus A320,2025-01-29 13:30:00,2025-01-29 13:30:00,2025-01-29 15:47:00,2025-01-29 15:41:00,0.0,-6.0,No Delay,False,Not Cancelled,False,180,109,258.24,28148.16,9445.35,Clear,4.0,True,True,False,On-Time / Early,ATL-BOS,1,January,Wednesday,False,1,0.606,0.1655,18702.809999999998,True
FL101408,2025-11-29,Horizon Airways,HO757,DEN,BOS,1749.0,Airbus A321,2025-11-29 15:15:00,2025-11-29 15:10:00,2025-11-29 19:19:00,2025-11-29 19:22:00,-5.0,3.0,No Delay,False,Not Cancelled,False,160,105,379.55,39852.75,16926.78,Clear,4.0,True,True,False,On-Time / Early,DEN-BOS,11,November,Saturday,True,4,0.656,0.1424,22925.97,True
FL106482,2025-12-07,Horizon Airways,HO813,DFW,ORD,802.0,Boeing 737,2025-12-07 15:15:00,2025-12-07 15:15:00,2025-12-07 16:57:00,2025-12-07 16:54:00,0.0,-3.0,No Delay,False,Not Cancelled,False,180,121,305.26,36936.46,8554.03,Clear,1.0,True,True,False,On-Time / Early,DFW-ORD,12,December,Sunday,True,4,0.672,0.2559,28382.43,True
FL103395,2025-10-22,Summit Airlines,SU559,SEA,DEN,1022.0,Embraer E190,2025-10-22 07:45:00,2025-10-22 07:42:00,2025-10-22 10:07:00,2025-10-22 10:12:00,-3.0,5.0,No Delay,False,Not Cancelled,False,220,167,357.68,59732.56,11808.77,Clear,1.0,True,True,False,On-Time / Early,SEA-DEN,10,October,Wednesday,False,4,0.759,0.2657,47923.78999999999,True
FL104088,2025-06-02,Coastal Express,CO979,JFK,BOS,186.0,Airbus A320,2025-06-02 06:45:00,2025-06-02 09:17:00,2025-06-02 07:30:00,2025-06-02 09:57:00,152.0,147.0,Airline Operations,False,Not Cancelled,False,220,176,222.36,39135.36,1796.05,Clear,5.0,True,True,True,Severe Delay,JFK-BOS,6,June,Monday,False,2,0.8,0.9564,37339.31,False
FL108551,2025-05-29,Falcon Jet,FA308,ORD,ATL,606.0,Embraer E190,2025-05-29 08:45:00,2025-05-29 08:45:00,2025-05-29 09:56:00,2025-05-29 10:04:00,0.0,8.0,No Delay,False,Not Cancelled,False,160,126,275.84,34755.84,6938.48,Rain,,True,False,False,On-Time / Early,ORD-ATL,5,May,Thursday,False,2,0.788,0.3585,27817.359999999997,True
FL108141,2025-04-22,Summit Airlines,SU612,MIA,SEA,2721.0,Boeing 787,2025-04-22 20:45:00,2025-04-22 21:33:00,2025-04-23 02:40:00,2025-04-23 03:34:00,48.0,54.0,Airline Operations,False,Not Cancelled,False,180,128,417.42,53429.76,27458.63,Clear,5.0,True,True,True,Moderate Delay,MIA-SEA,4,April,Tuesday,False,2,0.711,0.1091,25971.13,False
FL111991,2025-04-05,Horizon Airways,HO317,MIA,LAX,2338.0,Boeing 787,2025-04-05 19:30:00,2025-04-05 19:25:00,2025-04-06 00:39:00,2025-04-06 00:26:00,-5.0,-13.0,No Delay,False,Not Cancelled,False,250,209,490.47,102508.23,31260.97,Clear,2.0,True,True,False,On-Time / Early,MIA-LAX,4,April,Saturday,True,2,0.836,0.1754,71247.26,True
FL102437,2025-02-05,Summit Airlines,SU508,ATL,DFW,730.0,Boeing 737,2025-02-05 21:15:00,2025-02-05 21:15:00,2025-02-05 23:03:00,2025-02-05 22:53:00,0.0,-10.0,No Delay,False,Not Cancelled,False,180,123,338.82,41674.86,8346.46,Rain,1.0,True,True,False,On-Time / Early,ATL-DFW,2,February,Wednesday,False,1,0.683,0.3172,33328.4,True
FL108223,2025-02-12,Horizon Airways,HO468,JFK,LAX,2470.0,Embraer E190,2025-02-12 05:00:00,2025-02-12 04:55:00,2025-02-12 10:37:00,2025-02-12 10:29:00,-5.0,-8.0,No Delay,False,Not Cancelled,False,250,171,425.9,72828.9,32640.13,Rain,2.0,True,True,False,On-Time / Early,JFK-LAX,2,February,Wednesday,False,1,0.684,0.1179,40188.76999999999,True
FL105827,2025-01-01,Horizon Airways,HO838,ATL,DFW,730.0,Boeing 787,2025-01-01 21:45:00,2025-01-01 21:45:00,2025-01-01 23:30:00,2025-01-01 23:21:00,0.0,-9.0,No Delay,False,Not Cancelled,False,250,164,346.55,56834.2,7431.72,Snow,4.0,True,True,False,On-Time / Early,ATL-DFW,1,January,Wednesday,False,1,0.656,0.3114,49402.479999999996,True
FL100924,2025-11-15,Falcon Jet,FA102,JFK,BOS,186.0,Embraer E190,2025-11-15 08:45:00,2025-11-15 08:45:00,2025-11-15 09:30:00,2025-11-15 09:24:00,0.0,-6.0,No Delay,False,Not Cancelled,False,140,107,185.81,19881.67,2021.84,Clear,2.0,True,True,False,On-Time / Early,JFK-BOS,11,November,Saturday,True,4,0.764,0.7635,17859.829999999998,True
FL111883,2025-09-02,Horizon Airways,HO765,MIA,ORD,1199.0,Boeing 787,2025-09-02 07:15:00,2025-09-02 07:15:00,2025-09-02 10:02:00,2025-09-02 10:03:00,0.0,1.0,No Delay,False,Not Cancelled,False,220,170,333.51,56696.7,11785.91,Clear,3.0,True,True,False,On-Time / Early,MIA-ORD,9,September,Tuesday,False,3,0.773,0.2149,44910.78999999999,True
FL103897,2025-06-08,Bluewing Airlines,BL895,LAX,BOS,2605.0,Boeing 737,2025-06-08 19:30:00,2025-06-08 19:32:00,2025-06-09 01:25:00,2025-06-09 01:24:00,2.0,-1.0,No Delay,False,Not Cancelled,False,180,160,437.45,69992.0,33119.44,Rain,5.0,True,True,False,Minor Delay,LAX-BOS,6,June,Sunday,True,2,0.889,0.1493,36872.56,True
FL100253,2025-03-17,Summit Airlines,SU518,ORD,ATL,606.0,Boeing 737,2025-03-17 05:30:00,2025-03-17 05:30:00,2025-03-17 06:59:00,2025-03-17 06:53:00,0.0,-6.0,No Delay,False,Not Cancelled,False,180,180,256.46,46162.8,7256.51,Clear,4.0,True,True,False,On-Time / Early,ORD-ATL,3,March,Monday,False,1,1.0,0.4232,38906.29,True
FL110741,2025-12-02,Horizon Airways,HO126,JFK,LAX,2470.0,Airbus A320,2025-12-02 22:30:00,2025-12-02 22:27:00,2025-12-03 04:12:00,2025-12-03 04:15:00,-3.0,3.0,No Delay,False,Not Cancelled,False,140,123,424.69,52236.87,31243.34,Clear,,True,False,False,On-Time / Early,JFK-LAX,12,December,Tuesday,False,4,0.879,0.1511,20993.530000000002,True
FL106179,2025-09-21,Falcon Jet,FA867,LAX,MIA,2338.0,Boeing 787,2025-09-21 21:45:00,2025-09-21 22:42:00,2025-09-22 02:47:00,2025-09-22 03:52:00,57.0,65.0,Weather,False,Not Cancelled,False,250,119,332.49,39566.31,28532.48,Clear,5.0,True,True,True,Moderate Delay,LAX-MIA,9,September,Sunday,True,3,0.476,0.0677,11033.829999999998,False
FL109992,2025-04-09,Falcon Jet,FA933,SEA,DEN,1022.0,Embraer E190,2025-04-09 22:00:00,2025-04-09 22:00:00,2025-04-10 00:06:00,2025-04-10 00:00:00,0.0,-6.0,No Delay,False,Not Cancelled,False,220,183,343.3,62823.9,11415.32,Windy,3.0,True,True,False,On-Time / Early,SEA-DEN,4,April,Wednesday,False,2,0.832,0.2794,51408.58,True
FL109460,2025-10-16,Falcon Jet,FA998,ATL,LAX,1942.0,Embraer E190,2025-10-16 11:15:00,2025-10-16 11:15:00,2025-10-16 15:37:00,2025-10-16 15:29:00,0.0,-8.0,No Delay,False,Not Cancelled,False,180,154,400.69,61706.26,23776.15,Windy,,True,False,False,On-Time / Early,ATL-LAX,10,October,Thursday,False,4,0.856,0.1765,37930.11,True
